Employee title,Employee code,2012,2022,Number,Percent,"Percent self employed, 2012","Job openings due to growth and replacement needs, 2012-22","Median annual wage, 2012 (1)",Education,Occupation,Training
Receptionists and information clerks,43-4171,1006.7,1142.6,135.9,13.5,0.6,406.9,"$25,990",High school diploma or equivalent,None,Short-term on-the-job training
Reservation and transportation ticket agents and travel clerks,43-4181,139.1,119.6,-19.5,-14,1.8,18.5,"$32,400",High school diploma or equivalent,None,Short-term on-the-job training
"Information and record clerks, all other",43-4199,188.9,172.2,-16.7,-8.8,— ,40.8,"$37,240",High school diploma or equivalent,None,Short-term on-the-job training
"Material recording, scheduling, dispatching, and distributing workers",43-5000,3858.5,3759.7,-98.8,-2.6,0.8,1130.4,"$28,380",— ,— ,— 
Cargo and freight agents,43-5011,79.5,91,11.5,14.5,0.4,33,"$39,720",High school diploma or equivalent,None,Short-term on-the-job training
Couriers and messengers,43-5021,98.2,87.4,-10.9,-11.1,19.3,12.6,"$25,440",High school diploma or equivalent,None,Short-term on-the-job training
Dispatchers,43-5030,289.4,318.4,29,10,0.7,112.5,"$35,910",— ,— ,— 
"Police, fire, and ambulance dispatchers",43-5031,98.5,106.2,7.6,7.7,— ,36,"$36,300",High school diploma or equivalent,None,Moderate-term on-the-job training
"Dispatchers, except police, fire, and ambulance",43-5032,190.9,212.3,21.4,11.2,1,76.4,"$35,690",High school diploma or equivalent,None,Moderate-term on-the-job training
"Meter readers, utilities",43-5041,40.2,32.5,-7.7,-19.2,— ,10.1,"$35,940",High school diploma or equivalent,None,Short-term on-the-job training
Postal service workers,43-5050,491.6,352.6,-139.1,-28.3,— ,122.3,"$53,100",— ,— ,— 
Postal service clerks,43-5051,66.9,45.7,-21.3,-31.8,— ,10.2,"$53,090",High school diploma or equivalent,None,Short-term on-the-job training
Postal service mail carriers,43-5052,295.1,215.8,-79.2,-26.8,— ,102.7,"$56,490",High school diploma or equivalent,None,Short-term on-the-job training
"Postal service mail sorters, processors, and processing machine operators",43-5053,129.6,91,-38.6,-29.8,— ,9.4,"$53,090",High school diploma or equivalent,None,Short-term on-the-job training
"Production, planning, and expediting clerks",43-5061,284.7,294.8,10.1,3.6,1,81.1,"$43,740",High school diploma or equivalent,None,Moderate-term on-the-job training
"Shipping, receiving, and traffic clerks",43-5071,695.5,702.3,6.8,1,— ,189.6,"$29,010",High school diploma or equivalent,None,Short-term on-the-job training
Stock clerks and order fillers,43-5081,1807.2,1801.2,-6,-0.3,0.4,546,"$22,050",Less than high school,None,Short-term on-the-job training
"Weighers, measurers, checkers, and samplers, recordkeeping",43-5111,72.2,79.6,7.3,10.2,1.2,23.3,"$27,920",High school diploma or equivalent,None,Short-term on-the-job training
Secretaries and administrative assistants,43-6000,3947.1,4426.6,479.5,12.1,0.9,972.1,"$35,330",— ,— ,— 
Executive secretaries and executive administrative assistants,43-6011,873.9,863.4,-10.5,-1.2,0.9,105.2,"$47,500",High school diploma or equivalent,Less than 5 years,None
Legal secretaries,43-6012,223.1,216.1,-7,-3.1,1.1,26.8,"$42,170",High school diploma or equivalent,None,Moderate-term on-the-job training
Medical secretaries,43-6013,525.6,714.9,189.2,36,1.2,252.5,"$31,350",High school diploma or equivalent,None,Moderate-term on-the-job training
"Secretaries and administrative assistants, except legal, medical, and executive",43-6014,2324.4,2632.3,307.8,13.2,0.9,587.6,"$32,410",High school diploma or equivalent,None,Short-term on-the-job training
Other office and administrative support workers,43-9000,4121.5,4231.9,110.3,2.7,1,1077,"$28,590",— ,— ,— 
Computer operators,43-9011,74.6,62,-12.7,-17,1,7.2,"$38,390",High school diploma or equivalent,None,Moderate-term on-the-job training
Data entry and information processing workers,43-9020,324.6,244.2,-80.4,-24.8,2.4,30,"$30,100",— ,— ,— 
Data entry keyers,43-9021,220.3,166.1,-54.2,-24.6,1.6,26.3,"$28,010",High school diploma or equivalent,None,Moderate-term on-the-job training
Word processors and typists,43-9022,104.4,78.2,-26.2,-25.1,4.1,3.7,"$35,270",High school diploma or equivalent,None,Short-term on-the-job training
Desktop publishers,43-9031,16.4,15.5,-0.9,-5.5,— ,3,"$37,040",Associate's degree,None,Short-term on-the-job training
Insurance claims and policy processing clerks,43-9041,254.4,275,20.6,8.1,0.2,88.1,"$35,700",High school diploma or equivalent,None,Moderate-term on-the-job training
"Mail clerks and mail machine operators, except postal service",43-9051,108.5,98.9,-9.6,-8.8,0.6,24.9,"$26,900",High school diploma or equivalent,None,Short-term on-the-job training
"Office clerks, general",43-9061,2983.5,3167.6,184.1,6.2,0.4,810.9,"$27,470",High school diploma or equivalent,None,Short-term on-the-job training
"Office machine operators, except computer",43-9071,68.8,61.8,-7,-10.2,— ,16.4,"$27,950",High school diploma or equivalent,None,Short-term on-the-job training
Proofreaders and copy markers,43-9081,13.2,13,-0.2,-1.4,12.1,2.4,"$32,780",Bachelor's degree,None,None
Statistical assistants,43-9111,17.2,18.8,1.6,9.2,6.2,6.3,"$39,840",Bachelor's degree,None,None
"Office and administrative support workers, all other",43-9199,260.3,275,14.8,5.7,6.7,87.8,"$31,060",High school diploma or equivalent,None,Short-term on-the-job training
"Farming, fishing, and forestry occupations",45-0000,947.2,915,-32.2,-3.4,4.5,271,"$19,370",— ,— ,— 
"Supervisors of farming, fishing, and forestry workers",45-1000,45.9,44.8,-1.1,-2.5,18,9.7,"$43,660",— ,— ,— 
"First-line supervisors of farming, fishing, and forestry workers",45-1011,45.9,44.8,-1.1,-2.5,18,9.7,"$43,660",High school diploma or equivalent,Less than 5 years,None
Agricultural workers,45-2000,815.5,789.3,-26.2,-3.2,0.9,245.5,"$19,020",— ,— ,— 
Agricultural inspectors,45-2011,17,16.8,-0.2,-1,0.5,5,"$42,160",Bachelor's degree,None,Moderate-term on-the-job training
Animal breeders,45-2021,1.3,1,-0.3,-23.4,77.3,0.4,"$34,250",High school diploma or equivalent,Less than 5 years,Short-term on-the-job training
"Graders and sorters, agricultural products",45-2041,49.2,48.2,-1,-2,2.4,8.7,"$19,150",Less than high school,None,Short-term on-the-job training
Miscellaneous agricultural workers,45-2090,748.1,723.4,-24.7,-3.3,0.7,231.4,"$18,900",— ,— ,— 
Agricultural equipment operators,45-2091,59,61.2,2.3,3.9,0.7,20.2,"$25,860",Less than high school,None,Short-term on-the-job training
"Farmworkers and laborers, crop, nursery, and greenhouse",45-2092,596.8,567.6,-29.2,-4.9,0.8,181.1,"$18,670",Less than high school,None,Short-term on-the-job training
"Farmworkers, farm, ranch, and aquacultural animals",45-2093,77.9,79.6,1.7,2.2,0.6,25.3,"$22,060",Less than high school,None,Short-term on-the-job training
"Agricultural workers, all other",45-2099,14.4,14.9,0.5,3.4,0.6,4.9,"$25,140",Less than high school,None,Short-term on-the-job training
Fishing and hunting workers,45-3000,31.3,29.8,-1.5,-4.9,56.6,6.4,"$34,010",— ,— ,— 
Fishers and related fishing workers,45-3011,31.3,29.7,-1.6,-5,56.7,6.3,"$33,430",Less than high school,None,Moderate-term on-the-job training
"Forest, conservation, and logging workers",45-4000,54.4,51.1,-3.4,-6.2,16.7,9.6,"$32,380",— ,— ,— 
Forest and conservation workers,45-4011,10.5,11,0.5,4.5,3.6,2.3,"$24,340",High school diploma or equivalent,None,Moderate-term on-the-job training
Logging workers,45-4020,43.9,40.1,-3.8,-8.7,19.8,7.3,"$33,630",— ,— ,— 
Fallers,45-4021,6.6,3.8,-2.9,-43.3,19.9,1,"$35,250",High school diploma or equivalent,None,Moderate-term on-the-job training
Logging equipment operators,45-4022,30,30.6,0.6,2,19.8,5.2,"$33,380",High school diploma or equivalent,None,Moderate-term on-the-job training
Log graders and scalers,45-4023,3.5,2.4,-1.1,-31.6,20,0.5,"$32,880",High school diploma or equivalent,None,Moderate-term on-the-job training
"Logging workers, all other",45-4029,3.7,3.3,-0.5,-12.1,19.8,0.6,"$34,260",High school diploma or equivalent,None,Moderate-term on-the-job training
Construction and extraction occupations,47-0000,6092.2,7394.1,1301.9,21.4,17.3,2353,"$40,120",— ,— ,— 
Supervisors of construction and extraction workers,47-1000,545.5,673.8,128.3,23.5,15.5,187.1,"$59,700",— ,— ,— 
First-line supervisors of construction trades and extraction workers,47-1011,545.5,673.8,128.3,23.5,15.5,187.1,"$59,700",High school diploma or equivalent,5 years or more,None
Construction trades workers,47-2000,4653.4,5666.5,1013.1,21.8,20.3,1810.4,"$38,970",— ,— ,— 
Boilermakers,47-2011,18,18.7,0.7,3.7,— ,8.8,"$56,560",High school diploma or equivalent,None,Apprenticeship
"Brickmasons, blockmasons, and stonemasons",47-2020,85.1,114.4,29.3,34.5,19.7,38.4,"$44,950",— ,— ,— 
Brickmasons and blockmasons,47-2021,71,96.2,25.2,35.5,19.7,32.8,"$46,440",High school diploma or equivalent,None,Apprenticeship
Stonemasons,47-2022,14.1,18.2,4.1,29.2,19.9,5.6,"$37,350",High school diploma or equivalent,None,Apprenticeship
Carpenters,47-2031,901.2,1119.4,218.2,24.2,36.1,329.2,"$39,940",High school diploma or equivalent,None,Apprenticeship
"Carpet, floor, and tile installers and finishers",47-2040,96.4,108.3,11.8,12.3,30.7,29.1,"$36,400",— ,— ,— 
Carpet installers,47-2041,36.7,39.9,3.2,8.7,30.7,9.8,"$36,740",Less than high school,None,Short-term on-the-job training
"Floor layers, except carpet, wood, and hard tiles",47-2042,14.5,16.3,1.9,13,30.6,4.5,"$35,510",High school diploma or equivalent,None,Moderate-term on-the-job training
Floor sanders and finishers,47-2043,6,6.9,0.9,14.8,30.6,2,"$33,240",High school diploma or equivalent,None,Moderate-term on-the-job training
Tile and marble setters,47-2044,39.2,45.1,5.9,15,30.7,12.9,"$37,040",Less than high school,None,Long-term on-the-job training
"Cement masons, concrete finishers, and terrazzo workers",47-2050,144.3,186.1,41.7,28.9,4.5,58.3,"$35,830",— ,— ,— 
Cement masons and concrete finishers,47-2051,140.8,181.8,41,29.1,4.5,57.2,"$35,760",Less than high school,None,Moderate-term on-the-job training
Terrazzo workers and finishers,47-2053,3.5,4.2,0.7,19.8,4.5,1.1,"$39,740",High school diploma or equivalent,None,Apprenticeship
Construction laborers,47-2061,1071.1,1331,259.8,24.3,23.5,489.1,"$29,990",Less than high school,None,Short-term on-the-job training
Construction equipment operators,47-2070,409.7,487.9,78.2,19.1,3.2,164.8,"$40,980",— ,— ,— 
"Paving, surfacing, and tamping equipment operators",47-2071,54.7,65.5,10.8,19.7,1.1,18.7,"$35,840",High school diploma or equivalent,None,Moderate-term on-the-job training
Pile-driver operators,47-2072,3.8,4.8,1,27.5,— ,1.7,"$48,480",High school diploma or equivalent,None,Moderate-term on-the-job training
Operating engineers and other construction equipment operators,47-2073,351.2,417.6,66.4,18.9,3.6,144.4,"$41,870",High school diploma or equivalent,None,Moderate-term on-the-job training
"Drywall installers, ceiling tile installers, and tapers",47-2080,114.1,132,17.9,15.7,18.7,28.7,"$37,920",— ,— ,— 
Drywall and ceiling tile installers,47-2081,94.8,109.9,15.1,15.9,18.7,24.1,"$37,210",Less than high school,None,Moderate-term on-the-job training
Tapers,47-2082,19.2,22.1,2.9,14.8,18.7,4.7,"$45,290",Less than high school,None,Moderate-term on-the-job training
Electricians,47-2111,583.5,698.2,114.7,19.7,9.5,224.6,"$49,840",High school diploma or equivalent,None,Apprenticeship
Glaziers,47-2121,46.7,54.7,8,17.2,7.9,19.1,"$37,610",High school diploma or equivalent,None,Apprenticeship
Insulation workers,47-2130,52.1,71.7,19.6,37.6,1.6,26.5,"$35,940",— ,— ,— 
"Insulation workers, floor, ceiling, and wall",47-2131,23.3,29.4,6.1,26.2,1.6,9.2,"$32,360",Less than high school,None,Short-term on-the-job training
"Insulation workers, mechanical",47-2132,28.9,42.4,13.5,46.7,1.6,17.3,"$39,170",High school diploma or equivalent,None,Apprenticeship
Painters and paperhangers,47-2140,319.6,382.2,62.6,19.6,40.3,111.1,"$35,180",— ,— ,— 
"Painters, construction and maintenance",47-2141,316.2,378.8,62.6,19.8,40.7,110.5,"$35,190",Less than high school,None,Moderate-term on-the-job training
Paperhangers,47-2142,3.5,3.4,0,-0.5,— ,0.6,"$34,600",High school diploma or equivalent,None,Moderate-term on-the-job training
"Pipelayers, plumbers, pipefitters, and steamfitters",47-2150,435.4,527.8,92.5,21.2,10.3,146.6,"$47,460",— ,— ,— 
Pipelayers,47-2151,48.5,58.6,10.1,20.8,8.4,16.1,"$36,180",Less than high school,None,Short-term on-the-job training
"Plumbers, pipefitters, and steamfitters",47-2152,386.9,469.2,82.3,21.3,10.5,130.5,"$49,140",High school diploma or equivalent,None,Apprenticeship
Plasterers and stucco masons,47-2161,22.8,26.2,3.4,15,6.6,4.5,"$37,130",Less than high school,None,Long-term on-the-job training
Reinforcing iron and rebar workers,47-2171,15.5,19,3.6,23.1,— ,6.2,"$45,910",High school diploma or equivalent,None,Apprenticeship
Roofers,47-2181,132.7,147.9,15.2,11.4,28.1,42.9,"$35,290",Less than high school,None,Moderate-term on-the-job training
Sheet metal workers,47-2211,142.3,164.3,22,15.5,5.1,48.9,"$43,290",High school diploma or equivalent,None,Apprenticeship
Structural iron and steel workers,47-2221,58.1,70.8,12.7,21.8,0.6,31.5,"$46,140",High school diploma or equivalent,None,Apprenticeship
Solar photovoltaic installers,47-2231,4.8,5.9,1.2,24.5,— ,2,"$37,900",High school diploma or equivalent,None,Moderate-term on-the-job training
"Helpers, construction trades",47-3000,213.4,278.8,65.3,30.6,0.5,98.8,"$26,570",— ,— ,— 
"Helpers--brickmasons, blockmasons, stonemasons, and tile and marble setters",47-3011,24.4,34.9,10.5,43,0.5,14.3,"$28,220",Less than high school,None,Short-term on-the-job training
Helpers--carpenters,47-3012,36.4,47.1,10.8,29.6,0.5,16.4,"$25,550",Less than high school,None,Short-term on-the-job training
Helpers--electricians,47-3013,60.8,83.3,22.4,36.9,0.5,32,"$27,670",High school diploma or equivalent,None,Short-term on-the-job training
"Helpers--painters, paperhangers, plasterers, and stucco masons",47-3014,11.1,12.2,1.1,10.2,0.5,2.9,"$24,290",Less than high school,None,Short-term on-the-job training
"Helpers--pipelayers, plumbers, pipefitters, and steamfitters",47-3015,47.4,60.6,13.2,27.9,0.5,20.7,"$26,670",High school diploma or equivalent,None,Short-term on-the-job training
Helpers--roofers,47-3016,12,14,2.1,17.3,0.5,3.9,"$23,300",Less than high school,None,Short-term on-the-job training
"Helpers, construction trades, all other",47-3019,21.4,26.6,5.2,24.3,0.5,8.6,"$25,610",Less than high school,None,Short-term on-the-job training
Other construction and related workers,47-4000,412.5,464,51.5,12.5,5.6,130.7,"$39,620",— ,— ,— 
Construction and building inspectors,47-4011,102.3,114.8,12.5,12.2,10.6,36.7,"$53,450",High school diploma or equivalent,5 years or more,Moderate-term on-the-job training
Elevator installers and repairers,47-4021,19.7,24.5,4.8,24.6,— ,8,"$76,650",High school diploma or equivalent,None,Apprenticeship
Fence erectors,47-4031,24.9,32.4,7.5,30,15.4,13.3,"$30,190",High school diploma or equivalent,None,Moderate-term on-the-job training
Hazardous materials removal workers,47-4041,37.5,42.9,5.3,14.2,— ,13.4,"$37,590",High school diploma or equivalent,None,Moderate-term on-the-job training
Highway maintenance workers,47-4051,147.6,155.9,8.4,5.7,1.3,30.3,"$35,260",High school diploma or equivalent,None,Moderate-term on-the-job training
Rail-track laying and maintenance equipment operators,47-4061,17.3,18.2,0.9,5.2,— ,4.5,"$45,920",High school diploma or equivalent,None,Moderate-term on-the-job training
Septic tank servicers and sewer pipe cleaners,47-4071,25.4,31.9,6.6,25.8,4.8,11.9,"$34,020",Less than high school,None,Moderate-term on-the-job training
Miscellaneous construction and related workers,47-4090,37.8,43.3,5.5,14.5,13.8,12.4,"$34,930",— ,— ,— 
Segmental pavers,47-4091,1.8,2.4,0.7,38.1,17.2,1,"$33,720",High school diploma or equivalent,None,Moderate-term on-the-job training
"Construction and related workers, all other",47-4099,36.1,40.9,4.8,13.4,13.7,11.4,"$34,990",High school diploma or equivalent,None,Moderate-term on-the-job training
Extraction workers,47-5000,267.3,311,43.7,16.4,1.5,126.1,"$40,650",— ,— ,— 
"Derrick, rotary drill, and service unit operators, oil, gas, and mining",47-5010,108.1,129.6,21.5,19.9,0.8,65.2,"$44,570",— ,— ,— 
"Derrick operators, oil and gas",47-5011,22.8,27.1,4.3,18.8,0.8,13.5,"$46,900",Less than high school,None,Short-term on-the-job training
"Rotary drill operators, oil and gas",47-5012,26,30.9,4.8,18.6,0.8,15.4,"$49,220",Less than high school,None,Moderate-term on-the-job training
"Service unit operators, oil, gas, and mining",47-5013,59.3,71.7,12.4,20.9,0.8,36.4,"$41,970",Less than high school,None,Moderate-term on-the-job training
"Earth drillers, except oil and gas",47-5021,19.7,23.4,3.8,19.2,8.2,9,"$40,790",High school diploma or equivalent,None,Moderate-term on-the-job training
"Explosives workers, ordnance handling experts, and blasters",47-5031,6.5,6.9,0.3,5.2,— ,2.1,"$48,620",High school diploma or equivalent,Less than 5 years,Long-term on-the-job training
Mining machine operators,47-5040,24.5,24.7,0.2,0.8,4.4,4.7,"$50,230",— ,— ,— 
Continuous mining machine operators,47-5041,14.3,14.3,-0.1,-0.6,4.4,2.6,"$51,950",High school diploma or equivalent,None,Moderate-term on-the-job training
Mine cutting and channeling machine operators,47-5042,7.1,7.3,0.2,2.7,4.4,1.5,"$47,950",High school diploma or equivalent,None,Moderate-term on-the-job training
"Mining machine operators, all other",47-5049,3.1,3.2,0.1,2.7,4.3,0.6,"$46,810",High school diploma or equivalent,None,Moderate-term on-the-job training
"Rock splitters, quarry",47-5051,4.6,5.4,0.8,17.4,1.7,1.4,"$32,280",High school diploma or equivalent,None,Short-term on-the-job training
"Roof bolters, mining",47-5061,6.7,6.4,-0.3,-4.2,— ,1.8,"$54,320",High school diploma or equivalent,None,Moderate-term on-the-job training
"Roustabouts, oil and gas",47-5071,61.1,72.8,11.7,19.2,0.2,27.9,"$34,130",Less than high school,None,Moderate-term on-the-job training
Helpers--extraction workers,47-5081,26.4,30.8,4.4,16.6,— ,11.4,"$31,460",High school diploma or equivalent,None,Moderate-term on-the-job training
"Extraction workers, all other",47-5099,9.6,10.9,1.3,13.5,1.6,2.7,"$38,810",High school diploma or equivalent,None,Moderate-term on-the-job training
"Installation, maintenance, and repair occupations",49-0000,5514.8,6046,531.2,9.6,5.3,1813.7,"$41,020",— ,— ,— 
"Supervisors of installation, maintenance, and repair workers",49-1000,436.4,470.3,33.9,7.8,0.9,152,"$60,250",— ,— ,— 
"First-line supervisors of mechanics, installers, and repairers",49-1011,436.4,470.3,33.9,7.8,0.9,152,"$60,250",High school diploma or equivalent,Less than 5 years,None
"Electrical and electronic equipment mechanics, installers, and repairers",49-2000,617.8,643.4,25.6,4.1,6.2,140.5,"$46,550",— ,— ,— 
"Computer, automated teller, and office machine repairers",49-2011,133.1,138.2,5.1,3.8,13.9,32.8,"$36,620","Some college, no degree",None,None
Radio and telecommunications equipment installers and repairers,49-2020,233.6,243.1,9.5,4.1,3.7,41.6,"$53,790",— ,— ,— 
"Radio, cellular, and tower equipment installers and repairs",49-2021,16.4,17.5,1.1,6.6,3.4,3.3,"$43,900",Associate's degree,None,Moderate-term on-the-job training
"Telecommunications equipment installers and repairers, except line installers",49-2022,217.2,225.7,8.4,3.9,3.7,38.2,"$54,530",Postsecondary non-degree award,None,Moderate-term on-the-job training
"Miscellaneous electrical and electronic equipment mechanics, installers, and repairers",49-2090,251.1,262.1,11,4.4,4.5,66.1,"$46,770",— ,— ,— 
Avionics technicians,49-2091,17.1,17.6,0.5,2.9,— ,4,"$55,350",Associate's degree,None,None
"Electric motor, power tool, and related repairers",49-2092,20.7,19.9,-0.8,-4.1,4,3.6,"$36,240",Postsecondary non-degree award,None,Long-term on-the-job training
"Electrical and electronics installers and repairers, transportation equipment",49-2093,15.9,16.2,0.4,2.3,— ,3.6,"$51,240",Postsecondary non-degree award,None,Long-term on-the-job training
"Electrical and electronics repairers, commercial and industrial equipment",49-2094,69,71.3,2.3,3.4,0.6,16.3,"$52,650",Postsecondary non-degree award,None,Long-term on-the-job training
"Electrical and electronics repairers, powerhouse, substation, and relay",49-2095,24.5,24.5,-0.1,-0.2,0.7,5,"$68,810",Postsecondary non-degree award,None,Long-term on-the-job training
"Electronic equipment installers and repairers, motor vehicles",49-2096,14.6,13.7,-0.9,-5.9,13.6,1.3,"$31,340",Postsecondary non-degree award,None,Short-term on-the-job training
Electronic home entertainment equipment installers and repairers,49-2097,31.3,31.6,0.4,1.2,13.7,11.4,"$35,060",Postsecondary non-degree award,None,None
Security and fire alarm systems installers,49-2098,58,67.2,9.2,15.9,6.2,21,"$41,030",High school diploma or equivalent,None,Moderate-term on-the-job training
"Vehicle and mobile equipment mechanics, installers, and repairers",49-3000,1610.5,1750.6,140.1,8.7,9,544.7,"$38,470",— ,— ,— 
Aircraft mechanics and service technicians,49-3011,121.7,124.7,3,2.4,0.6,35.6,"$55,210",Postsecondary non-degree award,None,None
Automotive technicians and repairers,49-3020,873.3,956.6,83.2,9.5,13.3,294.6,"$36,850",— ,— ,— 
Automotive body and related repairers,49-3021,154.2,174.7,20.4,13.3,10.9,50.1,"$38,380",High school diploma or equivalent,None,Moderate-term on-the-job training
Automotive glass installers and repairers,49-3022,18,20.5,2.4,13.6,17,6.9,"$32,650",High school diploma or equivalent,None,Moderate-term on-the-job training
Automotive service technicians and mechanics,49-3023,701.1,761.5,60.4,8.6,13.7,237.6,"$36,610",High school diploma or equivalent,None,Long-term on-the-job training
Bus and truck mechanics and diesel engine specialists,49-3031,250.8,272.5,21.6,8.6,5.1,75.1,"$42,320",High school diploma or equivalent,None,Long-term on-the-job training
Heavy vehicle and mobile equipment service technicians and mechanics,49-3040,176.3,192.5,16.2,9.2,3.7,67.1,"$43,820",— ,— ,— 
Farm equipment mechanics and service technicians,49-3041,35.8,39.2,3.4,9.5,4.3,13.8,"$34,760",High school diploma or equivalent,None,Long-term on-the-job training
"Mobile heavy equipment mechanics, except engines",49-3042,119.3,131.6,12.3,10.3,3.5,46.7,"$46,050",High school diploma or equivalent,None,Long-term on-the-job training
Rail car repairers,49-3043,21.2,21.7,0.5,2.5,3.8,6.6,"$48,500",High school diploma or equivalent,None,Long-term on-the-job training
Small engine mechanics,49-3050,68.2,72,3.8,5.6,11.2,18.2,"$32,640",— ,— ,— 
Motorboat mechanics and service technicians,49-3051,20.8,22,1.1,5.5,11.2,5.5,"$35,530",High school diploma or equivalent,None,Long-term on-the-job training
Motorcycle mechanics,49-3052,16.8,17.8,1,6.1,11.4,4.6,"$33,140",High school diploma or equivalent,None,Long-term on-the-job training
Outdoor power equipment and other small engine mechanics,49-3053,30.5,32.2,1.7,5.5,11.1,8.1,"$30,510",High school diploma or equivalent,None,Moderate-term on-the-job training
"Miscellaneous vehicle and mobile equipment mechanics, installers, and repairers",49-3090,120.2,132.4,12.2,10.2,1.5,54.1,"$24,050",— ,— ,— 
Bicycle repairers,49-3091,10.6,13.3,2.7,25.1,1.5,6.4,"$24,150",High school diploma or equivalent,None,Moderate-term on-the-job training
Recreational vehicle service technicians,49-3092,11.1,12.1,1,8.7,1.5,4.8,"$34,540",High school diploma or equivalent,None,Long-term on-the-job training
Tire repairers and changers,49-3093,98.4,107,8.6,8.7,1.5,42.9,"$23,410",High school diploma or equivalent,None,Short-term on-the-job training
"Other installation, maintenance, and repair occupations",49-9000,2850.1,3181.6,331.5,11.6,3.7,976.5,"$38,750",— ,— ,— 
Control and valve installers and repairers,49-9010,56.8,60.4,3.6,6.3,— ,22.9,"$45,550",— ,— ,— 
Mechanical door repairers,49-9011,15.8,19.6,3.8,23.8,— ,9.1,"$36,110",High school diploma or equivalent,None,Moderate-term on-the-job training
"Control and valve installers and repairers, except mechanical door",49-9012,41,40.8,-0.2,-0.5,— ,13.8,"$50,960",High school diploma or equivalent,None,Moderate-term on-the-job training
"Heating, air conditioning, and refrigeration mechanics and installers",49-9021,267.6,323.5,55.9,20.9,8.7,123.7,"$43,640",Postsecondary non-degree award,None,Long-term on-the-job training
Home appliance repairers,49-9031,43.7,44,0.3,0.7,21.8,13.9,"$35,170",High school diploma or equivalent,None,Moderate-term on-the-job training
"Industrial machinery installation, repair, and maintenance workers",49-9040,449.7,527.2,77.4,17.2,2.4,187.6,"$45,810",— ,— ,— 
Industrial machinery mechanics,49-9041,319.3,379.6,60.3,18.9,3.3,152.5,"$46,920",High school diploma or equivalent,None,Long-term on-the-job training
"Maintenance workers, machinery",49-9043,89,98.9,9.9,11.1,— ,21.1,"$40,620",High school diploma or equivalent,None,Moderate-term on-the-job training
Millwrights,49-9044,39.4,46.7,7.2,18.4,— ,13.4,"$49,510",High school diploma or equivalent,None,Apprenticeship
"Refractory materials repairers, except brickmasons",49-9045,2.1,2.1,0,0.4,3.5,0.6,"$41,370",High school diploma or equivalent,None,Moderate-term on-the-job training
Line installers and repairers,49-9050,249.4,267.7,18.3,7.3,0.4,91.1,"$58,210",— ,— ,— 
Electrical power-line installers and repairers,49-9051,114.5,124.7,10.2,8.9,0.3,49.9,"$63,250",High school diploma or equivalent,None,Long-term on-the-job training
Telecommunications line installers and repairers,49-9052,134.9,143,8.1,6,0.4,41.2,"$51,410",High school diploma or equivalent,None,Long-term on-the-job training
Precision instrument and equipment repairers,49-9060,70.5,84.6,14.1,20,14.7,33.7,"$43,790",— ,— ,— 
Camera and photographic equipment repairers,49-9061,3.1,3.2,0.1,3.3,14.4,1,"$37,980",Associate's degree,None,Long-term on-the-job training
Medical equipment repairers,49-9062,42.3,55.1,12.8,30.3,15.3,24.6,"$44,570",Associate's degree,None,Moderate-term on-the-job training
Musical instrument repairers and tuners,49-9063,8.2,8.7,0.5,6.2,16.1,2.8,"$30,630",High school diploma or equivalent,None,Apprenticeship
Watch repairers,49-9064,3.2,3.2,0.1,1.9,15.9,0.9,"$37,650",High school diploma or equivalent,None,Long-term on-the-job training
"Precision instrument and equipment repairers, all other",49-9069,13.8,14.4,0.6,4.5,12.1,4.5,"$52,270",High school diploma or equivalent,None,Long-term on-the-job training
"Maintenance and repair workers, general",49-9071,1325.1,1450.3,125.2,9.4,0.8,379.7,"$35,210",High school diploma or equivalent,None,Long-term on-the-job training
Wind turbine service technicians,49-9081,3.2,4,0.8,24.5,— ,1.3,"$45,970","Some college, no degree",None,Long-term on-the-job training
"Miscellaneous installation, maintenance, and repair workers",49-9090,384.1,420,35.9,9.3,10.6,122.6,"$31,100",— ,— ,— 
"Coin, vending, and amusement machine servicers and repairers",49-9091,40.9,40,-0.9,-2.1,11.6,4.1,"$31,150",High school diploma or equivalent,None,Short-term on-the-job training
Commercial divers,49-9092,3.6,4.7,1.1,29.4,1.8,1.9,"$46,880",Postsecondary non-degree award,None,Moderate-term on-the-job training
"Fabric menders, except garment",49-9093,1,0.9,-0.1,-10.4,19.5,0.2,"$27,020",Less than high school,None,Long-term on-the-job training
Locksmiths and safe repairers,49-9094,22.3,23.9,1.6,7.4,25.4,9.1,"$37,560",High school diploma or equivalent,None,Long-term on-the-job training
Manufactured building and mobile home installers,49-9095,5.3,4.5,-0.8,-15.1,38,1.3,"$28,080",High school diploma or equivalent,None,Moderate-term on-the-job training
Riggers,49-9096,15.2,18.7,3.5,23.3,1.3,7.2,"$42,660",High school diploma or equivalent,None,Short-term on-the-job training
Signal and track switch repairers,49-9097,8.8,8.7,-0.1,-1.2,— ,2.1,"$55,450",High school diploma or equivalent,None,Moderate-term on-the-job training
"Helpers--installation, maintenance, and repair workers",49-9098,127.5,145,17.5,13.7,0.3,55.9,"$24,210",High school diploma or equivalent,None,Moderate-term on-the-job training
"Installation, maintenance, and repair workers, all other",49-9099,159.6,173.6,14,8.8,17.1,40.8,"$36,620",High school diploma or equivalent,None,Moderate-term on-the-job training
Production occupations,51-0000,8941.9,9017.5,75.6,0.8,3.1,2150.6,"$30,920",— ,— ,— 
